timestamp,theta,delta,attention,meditation,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,poor_signal,blink_strength,IBI,BPM,SDNN_over_RMSSD,CVNN,SDNN,RMSSD,pNN10,pNN20,pNN30,pNN40,pNN50,LF,HF,LF_over_HF,stimu_num,event
2023-07-12_17:41:06.642718,14759,28013,61,78,12739,18638,12107,12403,6494,6203,0,0,956,65,0.92577457,0.111698242,96.69344457,104.4459933,0.933333333,0.8,0.733333333,0.6,0.433333333,0,0,0,2,
2023-07-12_17:41:07.663301,86099,54746,53,74,10875,9929,27117,10503,3277,1842,0,0,942,64,1.136167852,0.112518087,97.63569475,85.93421702,0.933333333,0.766666667,0.7,0.566666667,0.4,0,0,0,2,
2023-07-12_17:41:08.684478,14898,13976,56,66,423,10526,10021,8492,2918,4947,0,0,860,64,0.907890789,0.090271408,79.23422381,87.27285789,0.933333333,0.766666667,0.7,0.566666667,0.4,0,0,0,2,
2023-07-12_17:41:09.704399,25289,18186,60,70,11102,24528,8631,12524,3432,5006,0,0,966,64,0.817520703,0.06134637,54.67597482,66.88023263,0.966666667,0.8,0.733333333,0.6,0.433333333,0,0,0,2,
2023-07-12_17:41:10.728133,40119,161820,51,67,31935,13580,26557,9118,6767,5052,0,0,968,64,0.895133286,0.062993113,56.3284416,62.92743495,0.933333333,0.766666667,0.7,0.566666667,0.4,0,0,0,2,
2023-07-12_17:41:11.751671,36705,21102,54,78,19793,8817,5981,9216,6821,3561,0,0,870,64,0.826964746,0.056349079,50.59771624,61.18485276,0.933333333,0.766666667,0.7,0.566666667,0.4,0,0,0,2,
2023-07-12_17:41:12.770963,47170,73359,50,78,7796,9820,6428,11347,19895,3609,0,0,916,64,0.821685533,0.056318165,50.63003061,61.61728374,0.933333333,0.766666667,0.7,0.566666667,0.366666667,0,0,0,3,100
2023-07-12_17:41:13.796598,41527,19487,51,64,7150,5001,8544,13083,9345,3652,0,0,958,64,0.834974246,0.056633995,51.30284809,61.4424317,0.933333333,0.766666667,0.733333333,0.6,0.366666667,0,0,0,3,
2023-07-12_17:41:14.823212,52679,82442,51,60,11173,7536,3790,8595,7556,3466,0,0,840,65,0.763886682,0.054177855,49.14653825,64.33747232,0.933333333,0.766666667,0.733333333,0.6,0.366666667,0,0,0,3,
2023-07-12_17:41:15.848854,39525,126568,56,54,12999,12734,11828,19648,13888,3729,0,0,886,65,0.754352766,0.053450606,48.53315018,64.33747232,0.933333333,0.766666667,0.733333333,0.6,0.333333333,0,0,0,3,
2023-07-12_17:41:16.875293,6835,47189,61,60,4068,1920,1272,3757,1021,1381,0,0,862,66,0.763830092,0.054307154,49.23124572,64.45313721,0.933333333,0.766666667,0.7,0.566666667,0.333333333,0,0,0,3,
2023-07-12_17:41:17.899880,23288,2345,61,66,5663,10094,5694,9337,5750,1900,0,0,762,68,0.903632569,0.065475826,58.82784677,65.10151224,0.933333333,0.8,0.733333333,0.566666667,0.366666667,0,0,0,3,
2023-07-12_17:41:18.922742,16103,10716,67,66,3563,8518,7723,8597,4376,1551,0,0,894,68,0.852679626,0.06539171,58.69559893,68.8366382,0.933333333,0.8,0.733333333,0.566666667,0.4,0,0,0,3,
2023-07-12_17:41:19.947832,27321,36795,60,74,20040,18133,20355,5791,4488,2394,0,0,920,68,0.934005436,0.063777902,57.13224425,61.16907039,0.933333333,0.8,0.7,0.533333333,0.366666667,0,0,0,3,
2023-07-12_17:41:20.972087,8178,119592,56,75,4553,5785,5357,3417,1841,605,0,0,842,68,0.885815902,0.061715573,55.36709813,62.50406883,0.933333333,0.8,0.7,0.533333333,0.366666667,0,0,0,3,
2023-07-12_17:41:21.992033,9497,131163,47,74,1817,1928,823,863,504,245,0,0,840,69,0.886936445,0.061632876,55.29701619,62.34608635,0.9,0.766666667,0.666666667,0.533333333,0.366666667,0,0,0,3,
